,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
159,159,محل للإيجار في شارع الرساله ، حي بدر ، الرياض ، الرياض,"8,000 ريال",26 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الرساله-حي-بدر-الرياض-الرياض-2322620,غرب,30 م, 17 سنة
160,160,محل للإيجار في شارع محمد بن حمد ابو شيبة ، حي الشفا ، الرياض ، الرياض,"100,000 ريال",80 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/شارع-محمد-بن-حمد-ابو-شيبة-حي-الشفا-الرياض-الرياض-2807357,شمال,30 م, 16 سنة
161,161,محل للإيجار في شارع ابن حجر القسقلاني ، حي العزيزية ، الرياض ، الرياض,"15,000 ريال",75 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-ابن-حجر-القسقلاني-حي-العزيزية-الرياض-الرياض-2841553,شمال شرقي,30 م, 15 سنة
162,162,محل للإيجار في شارع الخليل بن أحمد ، حي المروة ، الرياض ، الرياض,"500,000 ريال",1200 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المروة/شارع-الخليل-بن-أحمد-حي-المروة-الرياض-الرياض-3462650,شرق,40 م, 20 سنة
163,163,محل للإيجار في شارع معاذ بن جبل ، حي العزيزية ، الرياض ، الرياض,"12,000 ريال",36 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-معاذ-بن-جبل-حي-العزيزية-الرياض-الرياض-2623021,شمال غربي,20 م, 7 سنة
164,164,محل للإيجار في شارع الخليفة المأمون ، حي بدر ، الرياض ، الرياض,"14,500 ريال",30 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الخليفة-المأمون-حي-بدر-الرياض-الرياض-2293786,شمال شرقي,30 م, 14 سنة
165,165,محل للإيجار في شارع الخليفة المأمون ، حي بدر ، الرياض ، الرياض,"15,000 ريال",28 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الخليفة-المأمون-حي-بدر-الرياض-الرياض-2322614,شمال,40 م, 18 سنة
166,166,محل للإيجار في طريق ابن تيمية ، حي بدر ، الرياض ، الرياض,"65,000 ريال",100 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-ابن-تيمية-حي-بدر-الرياض-الرياض-2779243,شمال,60 م, 14 سنة
167,167,محل للإيجار في شارع ظفار ، حي الشفا ، الرياض ، الرياض,"6,000 ريال",28 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/شارع-ظفار-حي-الشفا-الرياض-الرياض-3325632,غرب,30 م, 17 سنة
168,168,محل للإيجار في شارع ابن تيمية ، حي بدر ، الرياض,"42,000 ريال",121 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-ابن-تيمية-حي-بدر-الرياض-1288629,شمال,60 م,جديد
